"Estado","Clave Estado","Municipio","Clave Municipio","Valor","Clasificacion"
"Aguascalientes",1,"Aguascalientes",1001,0.821,"MUY ALTO"
"Aguascalientes",1,"Asientos",1002,0.704,"ALTO"
"Aguascalientes",1,"Calvillo",1003,0.708,"ALTO"
"Aguascalientes",1,"Cosío",1004,0.719,"ALTO"
"Aguascalientes",1,"Jesús María",1005,0.782,"ALTO"
"Aguascalientes",1,"Pabellón de Arteaga",1006,0.76,"ALTO"
"Aguascalientes",1,"Rincón de Romos",1007,0.729,"ALTO"
"Aguascalientes",1,"San José de Gracia",1008,0.739,"ALTO"
"Aguascalientes",1,"Tepezalá",1009,0.728,"ALTO"
"Aguascalientes",1,"El Llano",1010,0.691,"MEDIO"
"Aguascalientes",1,"San Francisco de los Romo",1011,0.71,"ALTO"
"Baja California",2,"Ensenada",2001,0.782,"ALTO"
"Baja California",2,"Mexicali",2002,0.809,"MUY ALTO"
"Baja California",2,"Tecate",2003,0.764,"ALTO"
"Baja California",2,"Tijuana",2004,0.792,"ALTO"
"Baja California",2,"Playas de Rosarito",2005,0.746,"ALTO"
"Baja California Sur",3,"Comondú",3001,0.764,"ALTO"
"Baja California Sur",3,"Mulegé",3002,0.76,"ALTO"
"Baja California Sur",3,"La Paz",3003,0.815,"MUY ALTO"
"Baja California Sur",3,"Los Cabos",3008,0.786,"ALTO"
"Baja California Sur",3,"Loreto",3009,0.759,"ALTO"
"Campeche",4,"Calkiní",4001,0.739,"ALTO"
"Campeche",4,"Campeche",4002,0.795,"ALTO"
"Campeche",4,"Carmen",4003,0.799,"ALTO"
"Campeche",4,"Champotón",4004,0.718,"ALTO"
"Campeche",4,"Hecelchakán",4005,0.731,"ALTO"
"Campeche",4,"Hopelchén",4006,0.643,"MEDIO"
"Campeche",4,"Palizada",4007,0.677,"MEDIO"
"Campeche",4,"Tenabo",4008,0.727,"ALTO"
"Campeche",4,"Escárcega",4009,0.676,"MEDIO"
"Campeche",4,"Calakmul",4010,0.62,"MEDIO"
"Campeche",4,"Candelaria",4011,0.648,"MEDIO"
"Coahuila",5,"Abasolo",5001,0.774,"ALTO"
"Coahuila",5,"Acuña",5002,0.769,"ALTO"
"Coahuila",5,"Allende",5003,0.741,"ALTO"
"Coahuila",5,"Arteaga",5004,0.745,"ALTO"
"Coahuila",5,"Candela",5005,0.682,"MEDIO"
"Coahuila",5,"Castaños",5006,0.739,"ALTO"
"Coahuila",5,"Cuatro Ciénegas",5007,0.74,"ALTO"
"Coahuila",5,"Escobedo",5008,0.716,"ALTO"
"Coahuila",5,"Francisco I. Madero",5009,0.756,"ALTO"
"Coahuila",5,"Frontera",5010,0.778,"ALTO"
"Coahuila",5,"General Cepeda",5011,0.703,"ALTO"
"Coahuila",5,"Guerrero",5012,0.705,"ALTO"
"Coahuila",5,"Hidalgo",5013,0.695,"MEDIO"
"Coahuila",5,"Jiménez",5014,0.699,"MEDIO"
"Coahuila",5,"Juárez",5015,0.714,"ALTO"
"Coahuila",5,"Lamadrid",5016,0.755,"ALTO"
"Coahuila",5,"Matamoros",5017,0.753,"ALTO"
"Coahuila",5,"Monclova",5018,0.791,"ALTO"
"Coahuila",5,"Morelos",5019,0.764,"ALTO"
"Coahuila",5,"Múzquiz",5020,0.748,"ALTO"
"Coahuila",5,"Nadadores",5021,0.757,"ALTO"
"Coahuila",5,"Nava",5022,0.757,"ALTO"
"Coahuila",5,"Ocampo",5023,0.723,"ALTO"
"Coahuila",5,"Parras",5024,0.761,"ALTO"
"Coahuila",5,"Piedras Negras",5025,0.777,"ALTO"
"Coahuila",5,"Progreso",5026,0.707,"ALTO"
"Coahuila",5,"Ramos Arizpe",5027,0.79,"ALTO"
"Coahuila",5,"Sabinas",5028,0.777,"ALTO"
"Coahuila",5,"Sacramento",5029,0.735,"ALTO"
"Coahuila",5,"Saltillo",5030,0.818,"MUY ALTO"
"Coahuila",5,"San Buenaventura",5031,0.785,"ALTO"
"Coahuila",5,"San Juan de Sabinas",5032,0.771,"ALTO"
"Coahuila",5,"San Pedro",5033,0.733,"ALTO"
"Coahuila",5,"Sierra Mojada",5034,0.727,"ALTO"
"Coahuila",5,"Torreón",5035,0.804,"MUY ALTO"
"Coahuila",5,"Viesca",5036,0.672,"MEDIO"
"Coahuila",5,"Villa Unión",5037,0.729,"ALTO"
"Coahuila",5,"Zaragoza",5038,0.745,"ALTO"
"Colima",6,"Armería",6001,0.738,"ALTO"
"Colima",6,"Colima",6002,0.803,"MUY ALTO"
"Colima",6,"Comala",6003,0.738,"ALTO"
"Colima",6,"Coquimatlán",6004,0.732,"ALTO"
"Colima",6,"Cuauhtémoc",6005,0.781,"ALTO"
"Colima",6,"Ixtlahuacán",6006,0.7,"MEDIO"
"Colima",6,"Manzanillo",6007,0.787,"ALTO"
"Colima",6,"Minatitlán",6008,0.748,"ALTO"
"Colima",6,"Tecomán",6009,0.724,"ALTO"
"Colima",6,"Villa de Álvarez",6010,0.84,"MUY ALTO"
"Chiapas",7,"Acacoyagua",7001,0.611,"MEDIO"
"Chiapas",7,"Acala",7002,0.661,"MEDIO"
"Chiapas",7,"Acapetahua",7003,0.635,"MEDIO"
"Chiapas",7,"Altamirano",7004,0.554,"MEDIO"
"Chiapas",7,"Amatán",7005,0.589,"MEDIO"
"Chiapas",7,"Amatenango de la Frontera",7006,0.655,"MEDIO"
"Chiapas",7,"Amatenango del Valle",7007,0.549,"BAJO"
"Chiapas",7,"Angel Albino Corzo",7008,0.637,"MEDIO"
"Chiapas",7,"Arriaga",7009,0.713,"ALTO"
"Chiapas",7,"Bejucal de Ocampo",7010,0.583,"MEDIO"
"Chiapas",7,"Bella Vista",7011,0.631,"MEDIO"
"Chiapas",7,"Berriozábal",7012,0.652,"MEDIO"
"Chiapas",7,"Bochil",7013,0.62,"MEDIO"
"Chiapas",7,"El Bosque",7014,0.568,"MEDIO"
"Chiapas",7,"Cacahoatán",7015,0.663,"MEDIO"
"Chiapas",7,"Catazajá",7016,0.649,"MEDIO"
"Chiapas",7,"Cintalapa",7017,0.678,"MEDIO"
"Chiapas",7,"Coapilla",7018,0.631,"MEDIO"
"Chiapas",7,"Comitán de Domínguez",7019,0.695,"MEDIO"
"Chiapas",7,"La Concordia",7020,0.649,"MEDIO"
"Chiapas",7,"Copainalá",7021,0.662,"MEDIO"
"Chiapas",7,"Chalchihuitán",7022,0.464,"BAJO"
"Chiapas",7,"Chamula",7023,0.498,"BAJO"
"Chiapas",7,"Chanal",7024,0.528,"BAJO"
"Chiapas",7,"Chapultenango",7025,0.66,"MEDIO"
"Chiapas",7,"Chenalhó",7026,0.502,"BAJO"
"Chiapas",7,"Chiapa de Corzo",7027,0.715,"ALTO"
"Chiapas",7,"Chiapilla",7028,0.636,"MEDIO"
"Chiapas",7,"Chicoasén",7029,0.615,"MEDIO"
"Chiapas",7,"Chicomuselo",7030,0.636,"MEDIO"
"Chiapas",7,"Chilón",7031,0.531,"BAJO"
"Chiapas",7,"Escuintla",7032,0.663,"MEDIO"
"Chiapas",7,"Francisco León",7033,0.582,"MEDIO"
"Chiapas",7,"Frontera Comalapa",7034,0.661,"MEDIO"
"Chiapas",7,"Frontera Hidalgo",7035,0.679,"MEDIO"
"Chiapas",7,"La Grandeza",7036,0.606,"MEDIO"
"Chiapas",7,"Huehuetán",7037,0.709,"ALTO"
"Chiapas",7,"Huixtán",7038,0.542,"BAJO"
"Chiapas",7,"Huitiupán",7039,0.536,"BAJO"
"Chiapas",7,"Huixtla",7040,0.66,"MEDIO"
"Chiapas",7,"La Independencia",7041,0.596,"MEDIO"
"Chiapas",7,"Ixhuatán",7042,0.631,"MEDIO"
"Chiapas",7,"Ixtacomitán",7043,0.666,"MEDIO"
"Chiapas",7,"Ixtapa",7044,0.601,"MEDIO"
"Chiapas",7,"Ixtapangajoya",7045,0.646,"MEDIO"
"Chiapas",7,"Jiquipilas",7046,0.695,"MEDIO"
"Chiapas",7,"Jitotol",7047,0.545,"BAJO"
"Chiapas",7,"Juárez",7048,0.663,"MEDIO"
"Chiapas",7,"Larráinzar",7049,0.544,"BAJO"
"Chiapas",7,"La Libertad",7050,0.655,"MEDIO"
"Chiapas",7,"Mapastepec",7051,0.674,"MEDIO"
"Chiapas",7,"Las Margaritas",7052,0.552,"MEDIO"
"Chiapas",7,"Mazapa de Madero",7053,0.634,"MEDIO"
"Chiapas",7,"Mazatán",7054,0.672,"MEDIO"
"Chiapas",7,"Metapa",7055,0.692,"MEDIO"
"Chiapas",7,"Mitontic",7056,0.487,"BAJO"
"Chiapas",7,"Motozintla",7057,0.668,"MEDIO"
"Chiapas",7,"Nicolás Ruíz",7058,0.59,"MEDIO"
"Chiapas",7,"Ocosingo",7059,0.593,"MEDIO"
"Chiapas",7,"Ocotepec",7060,0.543,"BAJO"
"Chiapas",7,"Ocozocoautla de Espinosa",7061,0.648,"MEDIO"
"Chiapas",7,"Ostuacán",7062,0.666,"MEDIO"
"Chiapas",7,"Osumacinta",7063,0.678,"MEDIO"
"Chiapas",7,"Oxchuc",7064,0.564,"MEDIO"
"Chiapas",7,"Palenque",7065,0.64,"MEDIO"
"Chiapas",7,"Pantelhó",7066,0.507,"BAJO"
"Chiapas",7,"Pantepec",7067,0.599,"MEDIO"
"Chiapas",7,"Pichucalco",7068,0.65,"MEDIO"
"Chiapas",7,"Pijijiapan",7069,0.66,"MEDIO"
"Chiapas",7,"El Porvenir",7070,0.574,"MEDIO"
"Chiapas",7,"Villa Comaltitlán",7071,0.674,"MEDIO"
"Chiapas",7,"Pueblo Nuevo Solistahuacán",7072,0.597,"MEDIO"
"Chiapas",7,"Rayón",7073,0.651,"MEDIO"
"Chiapas",7,"Reforma",7074,0.702,"ALTO"
"Chiapas",7,"Las Rosas",7075,0.597,"MEDIO"
"Chiapas",7,"Sabanilla",7076,0.61,"MEDIO"
"Chiapas",7,"Salto de Agua",7077,0.607,"MEDIO"
