FOLIO_I,FOLIO_INT,entidad,desc_ent,municipio,desc_mun,id_tortillas,tortillas,pa1_t,pa4_t,ponde_f,estrato,est_sel,upm,completa,region
2022_01001001,2022_01001001_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,8717.1854790009,3,13,0100100011320,1,4
2022_01001001,2022_01001001_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,8717.1854790009,3,13,0100100011320,1,4
2022_01001001,2022_01001001_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,8717.1854790009,3,13,0100100011320,1,4
2022_01001001,2022_01001001_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,8717.1854790009,3,13,0100100011320,1,4
2022_01001028,2022_01001028_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,51475.173555678,3,13,0100100011320,1,4
2022_01001028,2022_01001028_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,51475.173555678,3,13,0100100011320,1,4
2022_01001028,2022_01001028_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,4,3,51475.173555678,3,13,0100100011320,1,4
2022_01001028,2022_01001028_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,1,2,51475.173555678,3,13,0100100011320,1,4
2022_01001034,2022_01001034_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,16477.8557582843,3,13,0100100011320,1,4
2022_01001034,2022_01001034_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,16477.8557582843,3,13,0100100011320,1,4
2022_01001034,2022_01001034_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,16477.8557582843,3,13,0100100011320,1,4
2022_01001034,2022_01001034_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,4,3,16477.8557582843,3,13,0100100011320,1,4
2022_01001041,2022_01001041_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,11801.483709865,3,13,0100100011405,1,4
2022_01001041,2022_01001041_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,11801.483709865,3,13,0100100011405,1,4
2022_01001041,2022_01001041_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,3,11801.483709865,3,13,0100100011405,1,4
2022_01001041,2022_01001041_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,11801.483709865,3,13,0100100011405,1,4
2022_01001042,2022_01001042_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,7032.17435561176,3,13,0100100011405,1,4
2022_01001042,2022_01001042_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,7032.17435561176,3,13,0100100011405,1,4
2022_01001042,2022_01001042_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,7032.17435561176,3,13,0100100011405,1,4
2022_01001042,2022_01001042_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,7032.17435561176,3,13,0100100011405,1,4
2022_01001042,2022_01001042_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,23602.9674197301,3,13,0100100011405,1,4
2022_01001042,2022_01001042_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,23602.9674197301,3,13,0100100011405,1,4
2022_01001042,2022_01001042_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,23602.9674197301,3,13,0100100011405,1,4
2022_01001042,2022_01001042_04,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,23602.9674197301,3,13,0100100011405,1,4
2022_01001052,2022_01001052_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,15338.3919052447,3,13,0100100011405,1,4
2022_01001052,2022_01001052_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,15338.3919052447,3,13,0100100011405,1,4
2022_01001052,2022_01001052_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,15338.3919052447,3,13,0100100011405,1,4
2022_01001052,2022_01001052_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,15338.3919052447,3,13,0100100011405,1,4
2022_01001074,2022_01001074_05,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,29774.0264583911,3,13,0100100012032,1,4
2022_01001074,2022_01001074_05,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,29774.0264583911,3,13,0100100012032,1,4
2022_01001074,2022_01001074_05,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,29774.0264583911,3,13,0100100012032,1,4
2022_01001074,2022_01001074_05,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,1,4,29774.0264583911,3,13,0100100012032,1,4
2022_01001075,2022_01001075_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,27374.8522981065,3,13,0100100012032,1,4
2022_01001075,2022_01001075_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,27374.8522981065,3,13,0100100012032,1,4
2022_01001075,2022_01001075_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,27374.8522981065,3,13,0100100012032,1,4
2022_01001075,2022_01001075_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,27374.8522981065,3,13,0100100012032,1,4
2022_01001081,2022_01001081_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,15823.0335318306,3,13,0100100012032,1,4
2022_01001081,2022_01001081_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,15823.0335318306,3,13,0100100012032,1,4
2022_01001081,2022_01001081_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,2,15823.0335318306,3,13,0100100012032,1,4
2022_01001081,2022_01001081_02,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,1,3,15823.0335318306,3,13,0100100012032,1,4
2022_01001088,2022_01001088_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,42563.9470690317,3,13,0100100012032,1,4
2022_01001088,2022_01001088_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,42563.9470690317,3,13,0100100012032,1,4
2022_01001088,2022_01001088_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,4,5,42563.9470690317,3,13,0100100012032,1,4
2022_01001088,2022_01001088_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,42563.9470690317,3,13,0100100012032,1,4
